sample	problems	Centre	BAMsize	Tophat	RSeQC	Filter	htseq-count	dexseq-count	WASP	RseQCwasp	WASPnonRef	Deduplicate	RseQCwaspNonRef	htseq-count-waspNR	Cufflinks	Cuffquant
17666		Cardiff		7820/7912												
17753		Cardiff		7821/7962												
17754		Cardiff		7822												
17932		Cardiff		7823/7959												
18015		Cardiff		7824/7920												
18139		Cardiff		7825/7961												
18382		Cardiff		7826/7916												
18528		Cardiff		7827/7933												
18529		Cardiff		7828/7915												
18540		Cardiff		7829/7909												
18611		Cardiff		7830/7917												
18655-2		Cardiff		7831/7911												
18856		Cardiff		7832/7921												
A139		Cardiff		7833/7960												
A145		Cardiff		7834/7932												
18153	both libraries	Edinburgh														
17054	both libraries	Edinburgh														
